,status,spc_latin,spc_common,health,count,diameter
201,Alive,Liquidambar styraciflua,sweetgum,Poor,303,7.871287128712871
202,Alive,Liriodendron tulipifera,tulip-poplar,Fair,204,10.083743842364532
203,Alive,Liriodendron tulipifera,tulip-poplar,Good,802,10.861809045226131
204,Alive,Liriodendron tulipifera,tulip-poplar,Poor,70,7.057142857142857
205,Alive,Maackia amurensis,Amur maackia,Fair,281,4.935714285714286
206,Alive,Maackia amurensis,Amur maackia,Good,1811,5.464936499171729
207,Alive,Maackia amurensis,Amur maackia,Poor,105,4.285714285714286
208,Alive,Maclura pomifera,Osage-orange,Fair,3,7.666666666666667
209,Alive,Maclura pomifera,Osage-orange,Good,26,6.2
210,Alive,Magnolia,magnolia,Fair,80,4.4375
211,Alive,Magnolia,magnolia,Good,577,5.604529616724738
212,Alive,Magnolia,magnolia,Poor,42,3.9285714285714284
213,Alive,Magnolia acuminata,cucumber magnolia,Fair,15,5.2
214,Alive,Magnolia acuminata,cucumber magnolia,Good,142,6.7304964539007095
215,Alive,Magnolia acuminata,cucumber magnolia,Poor,12,3.75
216,Alive,Magnolia grandiflora,southern magnolia,Fair,12,4.083333333333333
217,Alive,Magnolia grandiflora,southern magnolia,Good,114,5.043859649122807
218,Alive,Magnolia grandiflora,southern magnolia,Poor,6,5.0
219,Alive,Malus,crab apple,Fair,486,5.29835390946502
220,Alive,Malus,crab apple,Good,2897,5.297372060857538
221,Alive,Malus,crab apple,Poor,144,4.636363636363637
222,Alive,Metasequoia glyptostroboides,dawn redwood,Fair,395,4.6455696202531644
223,Alive,Metasequoia glyptostroboides,dawn redwood,Good,2426,5.60840890354493
224,Alive,Metasequoia glyptostroboides,dawn redwood,Poor,199,4.472361809045226
225,Alive,Morus,mulberry,Fair,218,12.724770642201834
226,Alive,Morus,mulberry,Good,877,14.810285714285714
227,Alive,Morus,mulberry,Poor,62,11.596774193548388
228,Alive,Nyssa sylvatica,blackgum,Fair,51,3.372549019607843
229,Alive,Nyssa sylvatica,blackgum,Good,222,3.6936936936936937
230,Alive,Nyssa sylvatica,blackgum,Poor,15,2.2
231,Alive,Ostrya virginiana,American hophornbeam,Fair,158,6.481012658227848
232,Alive,Ostrya virginiana,American hophornbeam,Good,866,6.1547344110854505
233,Alive,Ostrya virginiana,American hophornbeam,Poor,57,3.245614035087719
234,Alive,Parrotia persica,Persian ironwood,Fair,45,3.311111111111111
235,Alive,Parrotia persica,Persian ironwood,Good,219,3.219178082191781
236,Alive,Parrotia persica,Persian ironwood,Poor,13,2.5384615384615383
237,Alive,Paulownia tomentosa,empress tree,Fair,48,11.0625
238,Alive,Paulownia tomentosa,empress tree,Good,180,11.53888888888889
239,Alive,Paulownia tomentosa,empress tree,Poor,17,7.352941176470588
240,Alive,Phellodendron amurense,Amur cork tree,Fair,38,10.0
241,Alive,Phellodendron amurense,Amur cork tree,Good,121,9.413223140495868
242,Alive,Phellodendron amurense,Amur cork tree,Poor,24,10.25
243,Alive,Picea,spruce,Fair,43,7.5476190476190474
244,Alive,Picea,spruce,Good,152,6.118421052631579
245,Alive,Picea,spruce,Poor,7,5.428571428571429
246,Alive,Picea abies,Norway spruce,Fair,64,8.984375
247,Alive,Picea abies,Norway spruce,Good,271,8.636704119850187
248,Alive,Picea abies,Norway spruce,Poor,20,11.473684210526315
249,Alive,Picea pungens,blue spruce,Fair,17,8.352941176470589
250,Alive,Picea pungens,blue spruce,Good,104,7.0576923076923075
251,Alive,Picea pungens,blue spruce,Poor,5,8.0
252,Alive,Pinus,pine,Fair,33,9.121212121212121
253,Alive,Pinus,pine,Good,245,8.319672131147541
254,Alive,Pinus,pine,Poor,11,8.0
255,Alive,Pinus nigra,black pine,Fair,16,7.75
256,Alive,Pinus nigra,black pine,Good,18,10.222222222222221
257,Alive,Pinus nigra,black pine,Poor,3,13.0
258,Alive,Pinus resinosa,red pine,Fair,10,8.5
259,Alive,Pinus resinosa,red pine,Good,95,9.884210526315789
260,Alive,Pinus resinosa,red pine,Poor,1,17.0
261,Alive,Pinus rigida,pitch pine,Good,33,11.363636363636363
262,Alive,Pinus strobus,white pine,Fair,36,14.166666666666666
263,Alive,Pinus strobus,white pine,Good,155,11.974025974025974
264,Alive,Pinus strobus,white pine,Poor,11,16.818181818181817
265,Alive,Pinus sylvestris,Scots pine,Fair,3,9.333333333333334
266,Alive,Pinus sylvestris,Scots pine,Good,21,10.238095238095237
267,Alive,Pinus sylvestris,Scots pine,Poor,1,8.0
268,Alive,Pinus virginiana,Virginia pine,Good,8,4.5
269,Alive,Pinus virginiana,Virginia pine,Poor,2,2.0
270,Alive,Platanus x acerifolia,London planetree,Fair,11505,18.442677096914384
271,Alive,Platanus x acerifolia,London planetree,Good,73311,22.27282524179137
272,Alive,Platanus x acerifolia,London planetree,Poor,2198,14.168334849863513
273,Alive,Populus deltoides,eastern cottonwood,Fair,48,13.479166666666666
274,Alive,Populus deltoides,eastern cottonwood,Good,209,18.272727272727273
275,Alive,Populus deltoides,eastern cottonwood,Poor,19,12.789473684210526
276,Alive,Populus grandidentata,bigtooth aspen,Fair,21,8.80952380952381
277,Alive,Populus grandidentata,bigtooth aspen,Good,65,10.03076923076923
278,Alive,Populus grandidentata,bigtooth aspen,Poor,8,5.5
279,Alive,Populus tremuloides,quaking aspen,Fair,10,14.1
280,Alive,Populus tremuloides,quaking aspen,Good,68,11.25
281,Alive,Populus tremuloides,quaking aspen,Poor,5,7.2
282,Alive,Prunus,cherry,Fair,3448,5.558294663573085
283,Alive,Prunus,cherry,Good,24526,5.763976169101444
284,Alive,Prunus,cherry,Poor,1305,4.763036809815951
285,Alive,Prunus cerasifera,purple-leaf plum,Fair,1092,5.202752293577982
286,Alive,Prunus cerasifera,purple-leaf plum,Good,5445,5.084512217527099
287,Alive,Prunus cerasifera,purple-leaf plum,Poor,342,4.771929824561403
288,Alive,Prunus serotina,black cherry,Fair,107,11.654205607476635
289,Alive,Prunus serotina,black cherry,Good,459,8.004357298474945
290,Alive,Prunus serotina,black cherry,Poor,41,8.926829268292684
291,Alive,Prunus virginiana,'Schubert' chokecherry,Fair,717,4.813110181311018
292,Alive,Prunus virginiana,'Schubert' chokecherry,Good,3929,4.940667175961294
293,Alive,Prunus virginiana,'Schubert' chokecherry,Poor,242,4.384297520661157
294,Alive,Pseudotsuga menziesii,Douglas-fir,Fair,10,7.6
295,Alive,Pseudotsuga menziesii,Douglas-fir,Good,73,5.835616438356165
296,Alive,Pseudotsuga menziesii,Douglas-fir,Poor,2,3.5
297,Alive,Pyrus calleryana,Callery pear,Fair,8769,8.690237226277372
298,Alive,Pyrus calleryana,Callery pear,Good,48073,9.041367542709699
299,Alive,Pyrus calleryana,Callery pear,Poor,2089,8.249521072796934
300,Alive,Quercus acutissima,sawtooth oak,Fair,229,6.2663755458515285
301,Alive,Quercus acutissima,sawtooth oak,Good,1967,6.559063136456212
302,Alive,Quercus acutissima,sawtooth oak,Poor,48,3.9583333333333335
303,Alive,Quercus alba,white oak,Fair,263,5.749049429657795
304,Alive,Quercus alba,white oak,Good,1331,7.993238166791886
305,Alive,Quercus alba,white oak,Poor,92,4.608695652173913
306,Alive,Quercus bicolor,swamp white oak,Fair,909,4.135313531353136
307,Alive,Quercus bicolor,swamp white oak,Good,5434,4.8997973844170195
